species,R.km2,P.km2,R.fill,S.fill,Lat,Long,R.shape,P.shape,S.shape
Prunus fremontii,4.405,5.735,22.948,19.762,31.33,-115.818,1.615,0.785,1.228
Prunus hortulana,5.239,5.905,44.179,58.817,38.353,-91.604,0.494,0.335,0.979
Prunus ilicifolia,4.764,5.693,28.198,23.306,33.273,-117.774,1.104,0.943,0.938
Prunus mexicana,5.856,6.426,36.07,56.665,34.898,-93.526,0.977,0.467,1.017
Prunus munsoniana,5.229,6.11,29.608,55.048,37.852,-92.803,0.742,0.399,1.039
Prunus nigra,5.683,6.243,38.054,51.018,45.123,-82.976,0.367,0.31,0.816
Prunus pensylvanica,6.653,6.909,68.99,59.799,50.634,-89.836,0.362,0.369,0.874
Prunus serotina,6.526,6.747,80.022,94.446,37.826,-86.429,0.514,0.465,0.845
Prunus subcordata,5.01,5.599,47.1,36.418,40.286,-121.993,1.781,1.912,1.034
Prunus umbellata,5.674,5.918,69.912,50.462,31.954,-86.052,0.462,0.411,0.772
Prunus virginiana,6.773,7.009,71.044,63.931,47.684,-98.131,0.402,0.398,0.991
Pseudotsuga menziesii,6.036,6.796,36.4,41.548,45.889,-117.715,1.125,0.369,1.022
Psorothamnus spinosus,5.03,5.626,58.135,49.726,32.729,-114.697,1.706,0.96,1.01
Ptelea crenulata,4.376,5.211,32.393,29.986,38.655,-121.291,1.141,1.221,1.115
Ptelea trifoliata,6.247,6.681,50.185,79.545,34.152,-91.097,0.587,0.463,0.823
Purshia mexicana,5.614,6.574,18.906,35.228,32.984,-109.336,1.211,0.609,1.004
Quercus agrifolia,4.755,5.447,39.919,40.53,35.271,-119.756,1.011,1.108,0.765
Quercus alba,6.397,6.425,98.072,94.884,38.147,-85.341,0.616,0.511,0.86
Quercus arizonica,4.771,6.291,10.006,28.384,32.076,-109.331,1.232,0.621,0.902
Quercus bicolor,5.937,6.204,66.583,65.278,40.715,-85.307,0.421,0.447,0.85
Quercus chapmanii,4.915,5.532,66.231,83.764,29.175,-82.076,0.805,0.396,1.383
Quercus chrysolepis,5.081,6.337,28.883,32.487,38.984,-121.071,0.865,0.392,0.977
Quercus coccinea,5.968,6.231,66.137,67.962,37.709,-81.605,0.575,0.401,0.95
Quercus douglasii,4.756,5.259,48.109,40.618,37.582,-120.915,1.208,1.737,1.147
Quercus ellipsoidalis,5.456,5.907,55.083,81.528,43.988,-91.443,0.606,0.556,0.954
Quercus emoryi,4.584,6.046,12.2,18.705,32.407,-110.027,0.911,0.809,0.866
Quercus falcata,6.124,6.189,94.21,76.754,34.151,-86.422,0.503,0.411,0.822
Quercus gambelii,5.506,6.689,13.227,23.396,37.332,-108.808,0.968,0.434,1.007
Quercus garryana,5.103,5.565,52.171,36.018,43.629,-122.66,2.151,1.617,1.224
Quercus glaucoides,4.323,5.84,9.13,29.795,29.454,-99.864,1.549,0.394,1.182
Quercus grisea,4.452,6.261,3.497,36.651,32.141,-107.297,1.161,0.605,0.964
Quercus havardii,4.881,5.732,30.542,61.735,33.625,-101.721,1.051,0.813,1.038
Quercus hypoleucoides,4.503,6.017,10.076,15.997,30.3,-107.883,0.802,0.625,0.902
Quercus ilicifolia,5.312,5.994,33.697,31.086,40.755,-75.682,0.719,0.321,0.889
Quercus imbricaria,5.819,6.148,59.009,60.933,38.889,-87.347,0.527,0.285,0.899
Quercus incana,5.592,5.938,55.635,44.909,31.718,-84.156,0.465,0.424,0.905
Quercus kelloggii,4.921,5.549,38.959,34.898,39.787,-121.877,1.431,1.969,0.833
Quercus laevis,5.568,5.883,63.683,52.515,31.772,-82.747,0.737,0.455,0.992
Quercus laurifolia,5.707,5.984,66.622,47.585,31.485,-84.838,0.536,0.452,0.872
Quercus lobata,4.975,5.235,66.113,37.716,37.629,-120.974,1.306,1.485,0.961
Quercus lyrata,5.958,6.131,75.902,66.655,33.254,-87.178,0.553,0.378,0.842
Quercus macrocarpa,6.39,6.687,65.041,71.131,42.256,-91.968,0.643,0.564,1.016
Quercus marilandica,6.263,6.362,89.04,83.217,34.873,-88.544,0.547,0.453,0.799
Quercus michauxii,6.195,6.322,80.46,77.436,35.69,-83.682,0.628,0.445,0.985
Quercus mohriana,4.876,5.969,20.569,56.199,31.808,-101.532,1.315,0.926,0.841
Quercus muehlenbergii,6.24,6.508,67.694,74.884,37.387,-88.544,0.604,0.496,0.957
Quercus myrtifolia,4.979,5.544,63.874,78.942,28.867,-82.043,0.753,0.407,0.99
Quercus nigra,6.018,6.087,93.192,74.527,32.911,-87.259,0.501,0.42,0.792
Quercus oblongifolia,4.339,6.099,6.455,16.504,30.587,-109.834,1.026,0.681,1.089
Quercus palmeri,4.346,6.146,8.097,31.485,33.048,-113.234,0.434,0.712,1.09
Quercus palustris,5.957,6.159,71.635,64.873,39.032,-86.07,0.362,0.325,0.986
Quercus phellos,5.996,6.126,82.833,67.058,33.974,-86.87,0.515,0.384,0.907
Quercus pungens,4.453,6.09,7.436,32.198,30.138,-101.54,0.739,0.795,1.028
Quercus rubra,6.458,6.537,94.528,85.129,41.315,-83.163,0.479,0.414,0.902
Quercus shumardii,6.17,6.323,77.533,80.469,34.231,-89.34,0.566,0.428,0.833
Quercus sinuata,5.255,6.001,23.1,43.229,31.7,-93.529,0.309,0.33,0.876
Quercus stellata,6.327,6.401,92.962,87.08,34.869,-88.362,0.449,0.456,0.776
Quercus texana,5.432,5.736,65.341,66.409,32.8,-90.615,0.802,0.408,1.014
Quercus turbinella,4.898,6.328,10.146,32.218,33.566,-112.805,0.637,0.714,0.933
Quercus velutina,6.36,6.402,96.261,92.083,37.584,-86.104,0.559,0.518,0.908
Quercus virginiana,5.704,6.125,60.428,80.064,29.957,-90.999,0.526,0.408,0.575
Quercus wislizeni,4.895,5.5,48.223,39.904,37.701,-120.909,1.223,1.933,1.194
Rhamnus betulaefolia,5.254,6.464,12.697,21.591,29.015,-107.503,0.901,0.525,1.101
Rhamnus caroliniana,5.898,6.332,46.719,76.176,33.946,-89.334,0.802,0.411,0.977
Rhamnus crocea,5.096,6.403,22.738,27.591,34.871,-117.678,1.026,0.549,0.873
Rhododendron catawbiense,4.854,5.851,15.646,25.134,36.222,-82.087,0.498,0.34,1.112
Rhododendron macrophyllum,4.829,5.541,34.175,39.952,43.425,-123.242,3.182,0.817,1.175
Rhododendron maximum,5.521,6.111,37.778,49.936,38.968,-79.342,0.699,0.317,1.128
Rhus copallinum,6.302,6.444,80.836,88.372,35.762,-85.481,0.641,0.518,0.935
Rhus glabra,6.461,6.825,67.481,76.972,39.736,-89.968,0.504,0.436,0.948
Rhus lanceolata,5.218,6.149,22.074,51.556,28.973,-99.482,0.899,0.519,0.988
Rhus microphylla,5.787,6.074,63.396,60.949,28.613,-103.572,0.871,0.571,0.97
Rhus ovata,4.662,5.834,21.635,29.165,32.443,-115.052,0.806,0.65,1.025
Rhus typhina,6.097,6.329,74.156,73.018,43.311,-78.931,0.416,0.379,0.92
Robinia neomexicana,4.688,6.299,7.401,22.104,34.442,-109.007,0.777,0.743,1.077
Robinia pseudoacacia,5.644,6.093,42.483,53.567,37.224,-84.967,0.458,0.316,0.966
Sabal minor,5.779,5.937,79.552,66.894,31.097,-87.26,0.451,0.403,0.647
Sabal palmetto,5.056,5.553,84.93,86.963,28.386,-81.554,1.254,0.407,1.343
Salix alaxensis,6.392,6.834,51.087,51.208,64.431,-141.329,0.197,0.332,0.491
Salix amygdaloides,6.527,6.843,62.267,60.308,44.971,-101.683,0.551,0.427,1.001
Salix arbusculoides,6.503,6.811,63.486,50.476,62.179,-124.991,0.205,0.322,0.694
Salix bebbiana,6.798,6.999,69.541,61.657,53.52,-105.025,0.348,0.369,0.929
Salix caroliniana,5.77,6.342,36.66,59.9,34.122,-86.883,0.64,0.566,0.985
Salix discolor,6.562,6.859,63.156,61.904,49.156,-91.447,0.322,0.371,0.919
Salix exigua,6.814,7.132,59.635,62.734,46.301,-106.302,0.505,0.45,0.984
Salix geyeriana,5.491,6.481,19.029,21.516,44.457,-113.98,0.836,0.379,0.961
Salix hookeriana,4.547,5.831,15.179,36.776,48.205,-126.966,0.958,0.272,0.46
Salix laevigata,5.091,6.39,24.374,29.983,36.34,-119.456,0.89,0.479,0.861
Salix lasiandra,6.394,7.003,36.129,35.951,53.525,-119.719,0.607,0.416,0.952
Salix lasiolepis,5.396,6.672,20.831,35.777,38.17,-119.871,0.986,0.402,0.885
Salix lucida,6.508,6.753,72.422,72.134,49.162,-81.03,0.394,0.363,0.861
Salix nigra,6.526,6.767,76.077,85.791,36.878,-89.775,0.398,0.469,0.805
Salix pellita,6.211,6.604,57.346,65.273,51.755,-79.014,0.302,0.264,0.888
Salix petiolaris,6.324,6.717,53.752,61.47,49.885,-96.594,0.459,0.393,0.978
Salix prolixa,6.15,6.864,31.036,29.612,55.02,-118.626,1.203,0.392,0.933
Salix pyrifolia,6.475,6.796,54.744,58.087,53.308,-92.907,0.283,0.34,0.995
Salix scouleriana,6.493,6.989,41.06,40.929,55.385,-120.785,0.574,0.397,0.974
Salix sericea,5.99,6.332,57.029,74.213,41.046,-79.281,0.496,0.426,0.889
Salix sitchensis,5.709,6.666,27.755,32.701,51.37,-126.845,0.619,0.398,1.073
Sambucus callicarpa,5.605,6.376,36.888,31.77,52.877,-132.299,0.596,0.332,0.939
Sambucus canadensis,6.552,6.784,83.112,96.238,38.304,-85.496,0.438,0.461,0.847
Sambucus glauca,5.692,6.675,26.499,60.182,44.049,-118.905,0.991,0.347,1.041
Sambucus melanocarpa,5.278,6.401,16.748,18.777,46.489,-114.165,0.974,0.362,1.05
Sapindus drummondii,5.894,6.485,45.879,57.128,32.218,-101.75,0.59,0.513,1.008
Sassafras albidum,6.332,6.359,99.753,89.419,36.389,-85.116,0.611,0.471,0.931
Sebastiania bilocularis,5.067,5.811,31.664,21.906,28.588,-111.24,2.179,0.634,1.012
Serenoa repens,5.283,5.588,71.01,68.29,29.361,-82.807,0.75,0.388,1.13
Shepherdia argentea,5.993,6.481,56.63,49.457,47,-104.781,0.734,0.555,1.015
Sideroxylon celastrinum,5.2,5.696,53.23,43.751,25.535,-98.782,0.266,0.308,1.088
Sideroxylon lanuginosum,6.078,6.408,57.187,67.779,32.094,-94.648,0.464,0.46,0.816
Sideroxylon lycioides,5.537,6.016,39.61,45.195,33.614,-85.542,0.488,0.408,0.983
Sideroxylon tenax,4.539,5.689,26.686,68.975,30.279,-81.169,1.343,0.439,1.052
Sophora affinis,4.895,5.843,31.658,67.082,31.759,-97.641,0.751,0.309,0.957
Sophora secundiflora,5.64,6.034,53.867,58.801,26.886,-101.955,0.878,0.422,0.977
Sorbus americana,6.271,6.519,74.782,68.097,48.099,-75.546,0.429,0.328,0.948
Sorbus decora,6.369,6.581,79.521,75.049,50.516,-72.842,0.388,0.297,0.966
Sorbus scopulina,6.057,6.907,27.29,26.585,53.894,-124.466,0.542,0.349,1.028
Sorbus sitchensis,5.842,6.555,39.126,30.662,52.529,-125.582,0.581,0.363,1.081
Staphylea trifolia,6.094,6.333,71.632,69.679,39.252,-86.102,0.644,0.483,0.919
Stewartia malacodendron,4.984,5.924,23.473,31.966,32.551,-83.915,0.413,0.392,0.971
Stewartia ovata,4.724,5.807,19.51,33.652,35.451,-84.336,0.428,0.375,1
Styrax americanus,5.849,6.171,62.798,60.637,32.548,-86.428,0.746,0.445,0.814
Styrax grandifolius,5.708,6.088,52.038,48.131,32.828,-85.565,0.565,0.444,0.912
Symplocos tinctoria,5.787,6.093,65.956,53.293,32.751,-85.368,0.528,0.4,0.827
Taxodium distichum,5.941,6.162,68.848,70.376,32.227,-87.505,0.561,0.429,0.813
Taxus brevifolia,5.574,6.02,50.712,29.467,47.354,-122.827,0.901,0.284,1.016
Taxus canadensis,6.372,6.595,77.717,69.802,47.479,-75.26,0.406,0.319,1.023
Thuja occidentalis,6.206,6.514,71.096,64.176,47.307,-80.818,0.498,0.368,0.832
Thuja plicata,5.61,6.165,39.348,22.775,49.63,-123.104,0.811,0.265,0.915
Tilia americana,6.401,6.564,82.315,87.723,41.764,-85.012,0.553,0.504,0.814
Tilia caroliniana,5.823,6.135,66.061,65.079,32.361,-86.875,0.371,0.382,0.743
Toxicodendron vernix,5.758,6.366,27.074,51.369,36.777,-82.415,0.675,0.525,1.006
Tsuga canadensis,6.078,6.303,77.02,67.946,42.876,-77.282,0.432,0.354,1.005
Tsuga caroliniana,4.308,5.581,15.717,14.603,35.906,-82.114,0.67,0.346,0.707
Tsuga heterophylla,5.661,6.321,39.106,30.991,51.723,-126.485,0.588,0.276,1.072
Tsuga mertensiana,5.43,6.086,38.208,27.928,52.989,-129.035,0.628,0.26,1.057
Ulmus alata,6.083,6.228,80.36,76.253,34.162,-88.108,0.533,0.398,0.837
Ulmus americana,6.715,6.798,90.595,84.622,41.513,-87.97,0.577,0.432,0.853
Ulmus crassifolia,5.653,6.033,53.757,55.638,31.14,-95.852,1.04,0.425,0.827
Ulmus rubra,6.448,6.55,88.882,90.423,39.197,-86.914,0.586,0.507,0.867
Ulmus serotina,4.594,5.931,8.767,34.071,35.285,-90.044,0.417,0.301,0.956
Ulmus thomasii,5.9,6.294,54.922,66.839,42.175,-87.276,0.452,0.392,0.908
Umbellularia californica,4.914,5.433,47.944,44.466,39.447,-122.291,1.347,2.029,1.05
Ungnadia speciosa,4.49,6.217,3.571,36.061,29.365,-99.676,0.777,0.44,1.164
Vaccinium arboreum,6.036,6.218,74.306,76.111,33.437,-87.328,0.559,0.443,0.793
Viburnum lentago,6.063,6.459,60.574,71.683,44.447,-86.506,0.388,0.457,0.806
Viburnum nudum,5.764,6.15,53.874,45.915,33.341,-83.934,0.59,0.402,1.031
Viburnum obovatum,5.215,5.62,74.512,63.017,30.446,-82.268,1.147,0.371,1.024
Viburnum prunifolium,5.956,6.205,71.546,59.734,38.725,-84.385,0.509,0.499,1.118
Viburnum rufidulum,6.087,6.237,76.48,78.13,34.222,-89.33,0.454,0.405,0.812
Viburnum trilobum,6.107,6.618,59.541,66.976,45.867,-81.922,0.236,0.349,0.882
Yucca aloifolia,4.454,5.588,23.668,61.99,29.456,-81.447,0.868,0.471,1.054
Yucca brevifolia,4.78,5.775,27.738,30.524,35.612,-115.704,0.674,0.936,1.043
Yucca elata,5.406,6.094,32.833,36.126,31.816,-107.573,0.807,1.134,0.943
Yucca faxoniana,5.309,5.923,33.943,44.705,29.567,-103.904,0.853,0.953,0.909
Yucca schidigera,4.83,5.761,26.335,30.728,34.208,-115.752,1.87,1.058,1.073
Yucca treculeana,5.361,5.849,50.951,55.431,26.213,-99.111,1.413,0.346,1.032
Zanthoxylum americanum,5.992,6.344,62.088,69.895,41.713,-88.364,0.514,0.456,0.951
Zanthoxylum clava-herculis,5.687,6.108,45.872,66.625,30.902,-91.748,0.463,0.371,0.682
Zanthoxylum fagara,5.484,5.839,57.85,55.403,25.903,-96.359,0.256,0.312,1.307
