species,R.km2,P.km2,R.fill,S.fill,Lat,Long,R.shape,P.shape,S.shape
Carya ovata,6.305,6.47,83.023,85.981,38.557,-85.691,0.783,0.504,0.86
Carya pallida,5.636,6.072,46.469,40.489,34.1,-83.985,0.599,0.412,0.946
Carya texana,5.638,6.136,40.01,48.52,34.723,-93.88,0.996,0.424,1.015
Castanea dentata,5.879,6.231,56.795,70.22,38.66,-80.753,0.661,0.416,0.923
Castanea ozarkensis,4.747,5.693,28.012,21.538,35.55,-93.531,0.637,0.245,1.167
Castanea pumila,5.947,6.219,64.799,58.033,33.816,-84.239,0.591,0.39,0.962
Catalpa bignonioides,5.137,5.653,50.671,39.86,32.094,-87.151,0.517,0.313,0.853
Catalpa speciosa,4.641,5.676,27.069,27.746,36.863,-89.25,1.059,0.286,1.407
Ceanothus thyrsiflorus,4.472,5.216,50.07,32.573,40.261,-123.43,2.13,0.972,0.946
Celtis laevigata,6.334,6.708,60.438,72.56,33.136,-93.965,0.563,0.535,0.869
Celtis occidentalis,6.317,6.482,82.344,75.19,40.656,-90.864,0.536,0.532,0.989
Celtis tenuifolia,5.637,6.22,34.486,61.637,35.402,-86.478,0.62,0.442,1.02
Cephalanthus occidentalis,6.518,6.753,78.171,94.924,35.871,-87.948,0.454,0.456,0.834
Cercidium floridum,5.412,6.009,42.729,36.371,31.016,-112.225,1.584,0.769,1.042
Cercidium macrum,5.038,5.647,53.916,49.983,25.344,-98.714,1.932,0.343,1.274
Cercidium microphyllum,5.364,5.94,46.487,39.305,30.978,-112.471,1.834,0.757,0.867
Cercis canadensis,6.346,6.602,70.59,86.589,35.203,-89.498,0.672,0.479,0.809
Cercis occidentalis,4.731,6.235,13.366,13.991,38.408,-119.89,0.709,0.36,1.288
Cercocarpus ledifolius,5.32,6.601,12.649,28.282,42.027,-115.536,0.788,0.42,1.093
Cercocarpus montanus,5.108,6.587,8.703,42.885,35.872,-116.005,0.881,0.412,1.018
Chamaecyparis thyoides,5.131,6.123,17.998,53.319,36.594,-77.685,0.728,0.504,0.928
Chilopsis linearis,5.896,6.261,55.516,53.341,30.044,-106.534,0.773,0.701,0.98
Chionanthus virginicus,5.938,6.22,61.139,55.988,33.787,-84.101,0.614,0.436,1.005
